"","hour","wday","N","Acorn_group","stdorToU"
"1",0,"Sun",254.500239387169,"Comfortable","Std"
"2",0,"Mon",241.393313118417,"Comfortable","Std"
"3",0,"Tue",234.549988256479,"Comfortable","Std"
"4",0,"Wed",239.779883498244,"Comfortable","Std"
"5",0,"Thu",239.770068624322,"Comfortable","Std"
"6",0,"Fri",240.123164698372,"Comfortable","Std"
"7",0,"Sat",251.305258538142,"Comfortable","Std"
"8",1,"Sun",179.739267475263,"Comfortable","Std"
"9",1,"Mon",168.680976699649,"Comfortable","Std"
"10",1,"Tue",166.265755891333,"Comfortable","Std"
"11",1,"Wed",168.29249122247,"Comfortable","Std"
"12",1,"Thu",168.030282476859,"Comfortable","Std"
"13",1,"Fri",171.110517076285,"Comfortable","Std"
"14",1,"Sat",176.157596552825,"Comfortable","Std"
"15",2,"Sun",141.091366102777,"Comfortable","Std"
"16",2,"Mon",133.592922119374,"Comfortable","Std"
"17",2,"Tue",133.683003209896,"Comfortable","Std"
"18",2,"Wed",133.739147781679,"Comfortable","Std"
"19",2,"Thu",134.302984360038,"Comfortable","Std"
"20",2,"Fri",134.622725821896,"Comfortable","Std"
"21",2,"Sat",138.411107564635,"Comfortable","Std"
"22",3,"Sun",123.367938078519,"Comfortable","Std"
"23",3,"Mon",117.647661985318,"Comfortable","Std"
"24",3,"Tue",117.935410631801,"Comfortable","Std"
"25",3,"Wed",116.231367698691,"Comfortable","Std"
"26",3,"Thu",117.468759974465,"Comfortable","Std"
"27",3,"Fri",118.973627513565,"Comfortable","Std"
"28",3,"Sat",121.466286307054,"Comfortable","Std"
"29",4,"Sun",117.890719757421,"Comfortable","Std"
"30",4,"Mon",117.07899776572,"Comfortable","Std"
"31",4,"Tue",116.586040867455,"Comfortable","Std"
"32",4,"Wed",115.76839291414,"Comfortable","Std"
"33",4,"Thu",118.006104372806,"Comfortable","Std"
"34",4,"Fri",117.269510054261,"Comfortable","Std"
"35",4,"Sat",118.577840727737,"Comfortable","Std"
"36",5,"Sun",126.825726141079,"Comfortable","Std"
"37",5,"Mon",134.990424513246,"Comfortable","Std"
"38",5,"Tue",137.090777421123,"Comfortable","Std"
"39",5,"Wed",135.913581232046,"Comfortable","Std"
"40",5,"Thu",137.477697095436,"Comfortable","Std"
"41",5,"Fri",137.701723587616,"Comfortable","Std"
"42",5,"Sat",129.338533354612,"Comfortable","Std"
"43",6,"Sun",150.040815512289,"Comfortable","Std"
"44",6,"Mon",178.779085541015,"Comfortable","Std"
"45",6,"Tue",184.288225162452,"Comfortable","Std"
"46",6,"Wed",183.304460580913,"Comfortable","Std"
"47",6,"Thu",180.074609000958,"Comfortable","Std"
"48",6,"Fri",182.802306096393,"Comfortable","Std"
"49",6,"Sat",154.93181455474,"Comfortable","Std"
"50",7,"Sun",174.898021066071,"Comfortable","Std"
"51",7,"Mon",217.744613788701,"Comfortable","Std"
"52",7,"Tue",214.826274172082,"Comfortable","Std"
"53",7,"Wed",216.815791573572,"Comfortable","Std"
"54",7,"Thu",217.430896903926,"Comfortable","Std"
"55",7,"Fri",219.592084264283,"Comfortable","Std"
"56",7,"Sat",181.823811043728,"Comfortable","Std"
"57",8,"Sun",214.592044366422,"Comfortable","Std"
"58",8,"Mon",229.159551548037,"Comfortable","Std"
"59",8,"Tue",227.309911532138,"Comfortable","Std"
"60",8,"Wed",230.850781998085,"Comfortable","Std"
"61",8,"Thu",228.858881263964,"Comfortable","Std"
"62",8,"Fri",234.029803702522,"Comfortable","Std"
"63",8,"Sat",220.946656559208,"Comfortable","Std"
"64",9,"Sun",247.87228694542,"Comfortable","Std"
"65",9,"Mon",225.069182891797,"Comfortable","Std"
"66",9,"Tue",210.161434275425,"Comfortable","Std"
"67",9,"Wed",218.300430896904,"Comfortable","Std"
"68",9,"Thu",212.801986913501,"Comfortable","Std"
"69",9,"Fri",228.577322055538,"Comfortable","Std"
"70",9,"Sat",245.472310884137,"Comfortable","Std"
"71",10,"Sun",263.657636450686,"Comfortable","Std"
"72",10,"Mon",216.66370092563,"Comfortable","Std"
"73",10,"Tue",202.112620371095,"Comfortable","Std"
"74",10,"Wed",206.9567108203,"Comfortable","Std"
"75",10,"Thu",200.568305138845,"Comfortable","Std"
"76",10,"Fri",219.514802106607,"Comfortable","Std"
"77",10,"Sat",251.456032556655,"Comfortable","Std"
"78",11,"Sun",276.194861155442,"Comfortable","Std"
"79",11,"Mon",213.630785189914,"Comfortable","Std"
"80",11,"Tue",199.095357394504,"Comfortable","Std"
"81",11,"Wed",204.135333546122,"Comfortable","Std"
"82",11,"Thu",200.901571975742,"Comfortable","Std"
"83",11,"Fri",216.12392275774,"Comfortable","Std"
"84",11,"Sat",250.145347909352,"Comfortable","Std"
"85",12,"Sun",284.313517395468,"Comfortable","Std"
"86",12,"Mon",215.098827002873,"Comfortable","Std"
"87",12,"Tue",198.832341658185,"Comfortable","Std"
"88",12,"Wed",204.328518991382,"Comfortable","Std"
"89",12,"Thu",202.955593680179,"Comfortable","Std"
"90",12,"Fri",215.771544845196,"Comfortable","Std"
"91",12,"Sat",247.77218321098,"Comfortable","Std"
"92",13,"Sun",283.230130864986,"Comfortable","Std"
"93",13,"Mon",212.757261410788,"Comfortable","Std"
"94",13,"Tue",200.92006576372,"Comfortable","Std"
"95",13,"Wed",201.773100861794,"Comfortable","Std"
"96",13,"Thu",199.319581870412,"Comfortable","Std"
"97",13,"Fri",210.613389722311,"Comfortable","Std"
"98",13,"Sat",248.128231726779,"Comfortable","Std"
"99",14,"Sun",276.665895308011,"Comfortable","Std"
"100",14,"Mon",205.062639642515,"Comfortable","Std"
"101",14,"Tue",197.011782666562,"Comfortable","Std"
"102",14,"Wed",201.115783593999,"Comfortable","Std"
"103",14,"Thu",195.276292690712,"Comfortable","Std"
"104",14,"Fri",208.302784870731,"Comfortable","Std"
"105",14,"Sat",242.155481966167,"Comfortable","Std"
"106",15,"Sun",281.014363230131,"Comfortable","Std"
"107",15,"Mon",214.988948292372,"Comfortable","Std"
"108",15,"Tue",209.310616143428,"Comfortable","Std"
"109",15,"Wed",209.809966485796,"Comfortable","Std"
"110",15,"Thu",207.256583147143,"Comfortable","Std"
"111",15,"Fri",214.640081391637,"Comfortable","Std"
"112",15,"Sat",249.359679221194,"Comfortable","Std"
"113",16,"Sun",303.286307053942,"Comfortable","Std"
"114",16,"Mon",253.027848707309,"Comfortable","Std"
"115",16,"Tue",246.714554137634,"Comfortable","Std"
"116",16,"Wed",245.181056495372,"Comfortable","Std"
"117",16,"Thu",244.207748164698,"Comfortable","Std"
"118",16,"Fri",248.431295882541,"Comfortable","Std"
"119",16,"Sat",270.592403447175,"Comfortable","Std"
"120",17,"Sun",331.240504308969,"Comfortable","Std"
"121",17,"Mon",302.994254707948,"Comfortable","Std"
"122",17,"Tue",300.859077742112,"Comfortable","Std"
"123",17,"Wed",293.895746887967,"Comfortable","Std"
"124",17,"Thu",293.599225981487,"Comfortable","Std"
"125",17,"Fri",294.673475901692,"Comfortable","Std"
"126",17,"Sat",299.301468241302,"Comfortable","Std"
"127",18,"Sun",347.86662144909,"Comfortable","Std"
"128",18,"Mon",342.304300989467,"Comfortable","Std"
"129",18,"Tue",340.001017771863,"Comfortable","Std"
"130",18,"Wed",330.651811362911,"Comfortable","Std"
"131",18,"Thu",327.187041174593,"Comfortable","Std"
"132",18,"Fri",327.402290137249,"Comfortable","Std"
"133",18,"Sat",327.874321736355,"Comfortable","Std"
"134",19,"Sun",345.878072135334,"Comfortable","Std"
"135",19,"Mon",353.60660708586,"Comfortable","Std"
"136",19,"Tue",348.125968840523,"Comfortable","Std"
"137",19,"Wed",345.952601340568,"Comfortable","Std"
"138",19,"Thu",339.724225981487,"Comfortable","Std"
"139",19,"Fri",334.08765560166,"Comfortable","Std"
"140",19,"Sat",330.90584104692,"Comfortable","Std"
"141",20,"Sun",335.43532556655,"Comfortable","Std"
"142",20,"Mon",347.487751356527,"Comfortable","Std"
"143",20,"Tue",341.438933688249,"Comfortable","Std"
"144",20,"Wed",342.545323970635,"Comfortable","Std"
"145",20,"Thu",337.71564794127,"Comfortable","Std"
"146",20,"Fri",326.472630067028,"Comfortable","Std"
"147",20,"Sat",321.985317586977,"Comfortable","Std"
"148",21,"Sun",318.347151292691,"Comfortable","Std"
"149",21,"Mon",328.616781040536,"Comfortable","Std"
"150",21,"Tue",323.731112502936,"Comfortable","Std"
"151",21,"Wed",324.62148898819,"Comfortable","Std"
"152",21,"Thu",319.388046600702,"Comfortable","Std"
"153",21,"Fri",312.716326204915,"Comfortable","Std"
"154",21,"Sat",307.197693903607,"Comfortable","Std"
"155",22,"Sun",274.126436323013,"Comfortable","Std"
"156",22,"Mon",277.649936163422,"Comfortable","Std"
"157",22,"Tue",275.174939325139,"Comfortable","Std"
"158",22,"Wed",273.632141717204,"Comfortable","Std"
"159",22,"Thu",273.690233003511,"Comfortable","Std"
"160",22,"Fri",277.169685604852,"Comfortable","Std"
"161",22,"Sat",274.638764762209,"Comfortable","Std"
"162",23,"Sun",214.697294924992,"Comfortable","Std"
"163",23,"Mon",211.357325247367,"Comfortable","Std"
"164",23,"Tue",215.480036013466,"Comfortable","Std"
"165",23,"Wed",213.060046281519,"Comfortable","Std"
"166",23,"Thu",213.361235237791,"Comfortable","Std"
"167",23,"Fri",219.394430258538,"Comfortable","Std"
"168",23,"Sat",224.794127034791,"Comfortable","Std"
"169",0,"Sun",151.2708113804,"Comfortable","ToU"
"170",0,"Mon",136.293993677555,"Comfortable","ToU"
"171",0,"Tue",136.747479968984,"Comfortable","ToU"
"172",0,"Wed",137.837855637513,"Comfortable","ToU"
"173",0,"Thu",137.54583772392,"Comfortable","ToU"
"174",0,"Fri",136.973261327713,"Comfortable","ToU"
"175",0,"Sat",150.170179135933,"Comfortable","ToU"
"176",1,"Sun",118.672681770285,"Comfortable","ToU"
